run,model_size,active,epoch,feature,dim,target,source_col,provenance,unit,alpha,cv_r2,train_r2,train_rmse,train_mae,train_base_mae,val_r2,val_rmse,val_mae,val_base_mae,test_r2,test_rmse,test_mae,test_base_mae
e2_pc,base,pc,575,cls,768,height,stem_length,6.4,gen. units,0.1,0.8512407902008136,0.8649778577601506,0.06674853355656683,0.05309079166569483,0.14503408095082485,0.8983905266081735,0.07823076235397587,0.06139923673687256,0.202237677094102,0.897232463001916,0.07556482608211727,0.05906601016060757,0.19169140003246896
e2_pc,base,pc,575,cls,768,leaf_count,n_leaves,6.4,leaves,0.1,0.8545391230636593,0.8680805724882191,1.3112334944539852,1.0436744753519693,2.889299918367347,0.9023019837934579,1.523650192887671,1.2078676461113824,4.0307451428571435,0.8999930994962775,1.4851670954983862,1.1686660046047634,3.826889396825397
e2_pc,base,pc,575,cls,768,leaf_angle,branch_mean,6.4,deg,0.1,0.7746469492262518,0.8036748731590031,0.0216956354540071,0.01685467925264195,0.0361059712492589,0.8135320025114434,0.03234695639780288,0.020745554987965893,0.052109371951762885,0.8388178700332853,0.026839457266444787,0.01965083967617045,0.04945280923269705
e2_pc,base,pc,575,cls,768,biomass,biomass,6.4,leaves x len,0.1,0.8525188635244071,0.8663143454642434,1.013246890223071,0.8057481877263933,2.2090249447543804,0.9001669016062842,1.1796197020051455,0.9321011609602348,3.0771276218370383,0.8971899879923574,1.1539013288836766,0.9109882321833629,2.921285803946328
e2_pc,base,pc,575,cls,768,leaf_angle_roll,roll_mean,alt,deg,0.1,0.32982467137143623,0.4052577680928161,17.473733695699067,13.885191005375514,18.04437372446335,0.45144445041957204,23.104599067727428,18.70627256265919,25.64597842490313,0.45268036612532747,22.597308957851617,18.169521988768135,24.795713835422266
e2_pc,base,pc,575,cls,768,leaf_len_mean,leaf_len_mean,ind,len,10.0,0.06879718713208864,0.0945282264892765,0.01291650415849272,0.01025528749294121,0.01072197933581821,0.10225129685441448,0.017182789616532114,0.013781574810880161,0.014457622499357229,0.08885796498017484,0.017359019640188437,0.014056673803068282,0.014659046604959682
e2_pc,base,pc,575,cls,768,leaf_len_max,leaf_len_max,ind,len,100.0,0.03834554698679789,0.04991135013088144,0.03298570750514372,0.026169791425336944,0.026842416723487347,0.030978923490659005,0.043762429874154504,0.03487395550167087,0.035655482503278726,0.042394420735546,0.04472208764534195,0.036043155234782374,0.03691240678923175
e2_pc,base,pc,575,cls,768,waviness,wav_mean,ind,-,10000.0,-0.0018763714503339912,0.0009753637740274046,0.0008424262980867748,0.0006708612809478618,0.0006710800803221519,4.1652077521270314e-05,0.0008590697162349424,0.0006797490799142407,0.0006799741940323349,0.0004022449577211207,0.0008324762599221043,0.0006587340007620123,0.0006591118176169432
e2_pcrgb,base,"rgb,pc",525,cls,768,height,stem_length,6.4,gen. units,10.0,0.9682245572891166,0.9725610703851878,0.030090043430790536,0.023788305884111734,0.14503408095082485,0.9778008614467365,0.036566089932883364,0.028847242543142835,0.202237677094102,0.9775029030405341,0.035355334715542565,0.028193584766211276,0.19169140003246896
e2_pcrgb,base,"rgb,pc",525,cls,768,leaf_count,n_leaves,6.4,leaves,10.0,0.973213018017551,0.9768494913717056,0.5492953518365835,0.4340517863319034,2.889299918367347,0.9827519943993609,0.6401943553243122,0.5013641632927789,4.0307451428571435,0.9822046450959316,0.6264893056532927,0.4944980205959744,3.826889396825397
e2_pcrgb,base,"rgb,pc",525,cls,768,leaf_angle,branch_mean,6.4,deg,100.0,0.8877775425778118,0.9004082229107858,0.015452408210315812,0.012099738522904812,0.0361059712492589,0.9191619942286106,0.02129801189565237,0.013673347808866289,0.052109371951762885,0.934499178784174,0.017109552736880532,0.013232430572955091,0.04945280923269705
e2_pcrgb,base,"rgb,pc",525,cls,768,biomass,biomass,6.4,leaves x len,10.0,0.9753226589102594,0.9787486356892359,0.4039859714644618,0.3180321410319105,2.2090249447543804,0.9852460276261846,0.4534811355827613,0.35303151206861916,3.0771276218370383,0.9841632952962136,0.45288024619728895,0.35568967812396485,2.921285803946328
e2_pcrgb,base,"rgb,pc",525,cls,768,leaf_angle_roll,roll_mean,alt,deg,10.0,0.7020792429400903,0.7413588102038138,11.523122219408233,9.148252005886082,18.04437372446335,0.7957607715463196,14.098006637702778,11.156567460612695,25.64597842490313,0.7966598142079,13.773611136461591,10.950369726474529,24.795713835422266
e2_pcrgb,base,"rgb,pc",525,cls,768,leaf_len_mean,leaf_len_mean,ind,len,100.0,0.2235806014134118,0.28674748160729235,0.011463815470547017,0.009101535062501984,0.01072197933581821,0.27407812711455015,0.015451164657783885,0.012431677398483765,0.014457622499357229,0.2734019400804055,0.015501697933802938,0.012456761947886566,0.014659046604959682
e2_pcrgb,base,"rgb,pc",525,cls,768,leaf_len_max,leaf_len_max,ind,len,100.0,0.11681273470809932,0.1892149655876051,0.030471694151734792,0.02421697114630621,0.026842416723487347,0.1459703966918786,0.041083863604628235,0.032604222861675344,0.035655482503278726,0.1516823621088973,0.042092816193871604,0.03385715836673672,0.03691240678923175
e2_pcrgb,base,"rgb,pc",525,cls,768,waviness,wav_mean,ind,-,10000.0,-0.0027457072929745197,0.011702498167205366,0.0008378912699384738,0.0006672553408272692,0.0006710800803221519,-0.0028109998350209775,0.000860294208031783,0.0006814333916114844,0.0006799741940323349,-0.007187679424854432,0.0008356307704347835,0.0006613684379419138,0.0006591118176169432
e2_pcrgbd,base,"rgb,depth,pc",600,cls,768,height,stem_length,6.4,gen. units,10.0,0.9717489668930149,0.9754347742956606,0.028470796105804008,0.022540015038841434,0.14503408095082485,0.9807764473915356,0.034027284124888944,0.026843234144628157,0.202237677094102,0.9794338941978346,0.033803972984870305,0.026904356996018338,0.19169140003246896
e2_pcrgbd,base,"rgb,depth,pc",600,cls,768,leaf_count,n_leaves,6.4,leaves,10.0,0.9747101530224388,0.9781203307580554,0.5340058708293935,0.4215466870807466,2.889299918367347,0.9839450323769442,0.6176566411323265,0.48776917309231227,4.0307451428571435,0.982219996267053,0.6262190267073137,0.4924263653225369,3.826889396825397
e2_pcrgbd,base,"rgb,depth,pc",600,cls,768,leaf_angle,branch_mean,6.4,deg,100.0,0.8874798749233925,0.9016829394249513,0.0153531988375242,0.011957476781452621,0.0361059712492589,0.912760678060197,0.022125210454202234,0.01360642645331961,0.052109371951762885,0.9374472722880389,0.01672008228908099,0.0130583611651998,0.04945280923269705
e2_pcrgbd,base,"rgb,depth,pc",600,cls,768,biomass,biomass,6.4,leaves x len,10.0,0.97601073394707,0.9793151190082077,0.39856521197589395,0.31416326956299917,2.2090249447543804,0.9855244475630918,0.4491819704824127,0.3508738476801973,3.0771276218370383,0.9838814193815776,0.45689285492542764,0.35969605340522215,2.921285803946328
e2_pcrgbd,base,"rgb,depth,pc",600,cls,768,leaf_angle_roll,roll_mean,alt,deg,10.0,0.712994259902291,0.7516042737920949,11.292585388571638,8.97844063452315,18.04437372446335,0.8060972256287504,13.736628136149507,10.872423923316774,25.64597842490313,0.8104789257259103,13.297345845934029,10.529000012887499,24.795713835422266
e2_pcrgbd,base,"rgb,depth,pc",600,cls,768,leaf_len_mean,leaf_len_mean,ind,len,10.0,0.2836176227776,0.37793673481057366,0.010705940063306205,0.008531668919386714,0.01072197933581821,0.3617067445964044,0.014488599485153783,0.011553202080093073,0.014457622499357229,0.362928481048049,0.014515307745555681,0.011640400575344503,0.014659046604959682
